step=1 min=[0.0, 0.0, 0.0] mean=[0.0, 0.0, 0.0] max=[0.0, 0.0, 0.0] env0=[0.0, 0.0, 0.0]
step=2 min=[0.0, 0.0, 0.0] mean=[0.0, 0.0, 0.0] max=[0.0, 0.0, 0.0] env0=[0.0, 0.0, 0.0]
step=3 min=[0.0, 0.0, 0.0] mean=[0.0, 0.0, 0.0] max=[0.0, 0.0, 0.0] env0=[0.0, 0.0, 0.0]
step=4 min=[0.0, 0.0, 0.0] mean=[0.0, 0.0, 0.0] max=[0.0, 0.0, 0.0] env0=[0.0, 0.0, 0.0]
step=5 min=[0.0, 0.0, 0.0] mean=[0.0, 0.0, 0.0] max=[0.0, 0.0, 0.0] env0=[0.0, 0.0, 0.0]
step=6 min=[0.0, 0.0, 0.0] mean=[0.0, 0.0, 0.0] max=[0.0, 0.0, 0.0] env0=[0.0, 0.0, 0.0]
step=7 min=[0.0, 0.0, 0.0] mean=[0.0, 0.0, 0.0] max=[0.0, 0.0, 0.0] env0=[0.0, 0.0, 0.0]
step=8 min=[0.0, 0.0, 0.0] mean=[0.0, 0.0, 0.0] max=[0.0, 0.0, 0.0] env0=[0.0, 0.0, 0.0]
step=9 min=[0.0, 0.0, 0.0] mean=[0.0, 0.0, 0.0] max=[0.0, 0.0, 0.0] env0=[0.0, 0.0, 0.0]
step=10 min=[0.0, 0.0, 0.0] mean=[0.0, 0.0, 0.0] max=[0.0, 0.0, 0.0] env0=[0.0, 0.0, 0.0]
step=11 min=[0.0, 0.0, 0.0] mean=[0.0, 0.0, 0.0] max=[0.0, 0.0, 0.0] env0=[0.0, 0.0, 0.0]
step=12 min=[0.0, 0.0, 0.0] mean=[0.0, 0.0, 0.0] max=[0.0, 0.0, 0.0] env0=[0.0, 0.0, 0.0]
step=13 min=[0.0, 0.0, 0.0] mean=[0.0, 0.0, 0.0] max=[0.0, 0.0, 0.0] env0=[0.0, 0.0, 0.0]
step=14 min=[0.0, 0.0, 0.0] mean=[0.0, 0.0, 0.0] max=[0.0, 0.0, 0.0] env0=[0.0, 0.0, 0.0]
step=15 min=[0.0, 0.0, 0.0] mean=[0.0, 0.0, 0.0] max=[0.0, 0.0, 0.0] env0=[0.0, 0.0, 0.0]
