[ReleaseFF] env=38 tau_prev=[0.0, 0.0, 0.0] tau_curr=[0.0, 0.0, 0.0] delta=[0.0, 0.0, 0.0] ff=[0.0, 0.0, 0.0] norms(prev=0.0000 curr=0.0000 ff=0.0000) comp_limits=[0.4000000059604645, 0.4000000059604645, 0.0] comp_torque=[0.0, 0.0, 0.0]
[ReleaseFF] env=77 tau_prev=[0.0, 0.0, 0.0] tau_curr=[0.0, 0.0, 0.0] delta=[0.0, 0.0, 0.0] ff=[0.0, 0.0, 0.0] norms(prev=0.0000 curr=0.0000 ff=0.0000) comp_limits=[0.4000000059604645, 0.4000000059604645, 0.0] comp_torque=[0.0, 0.0, 0.0]
[ReleaseFF] env=116 tau_prev=[0.0, 0.0, 0.0] tau_curr=[0.0, 0.0, 0.0] delta=[0.0, 0.0, 0.0] ff=[0.0, 0.0, 0.0] norms(prev=0.0000 curr=0.0000 ff=0.0000) comp_limits=[0.4000000059604645, 0.4000000059604645, 0.0] comp_torque=[0.0, 0.0, 0.0]
[ReleaseFF] env=1 tau_prev=[0.0, 0.0, 0.0] tau_curr=[0.0, 0.0, 0.0] delta=[0.0, 0.0, 0.0] ff=[0.0, 0.0, 0.0] norms(prev=0.0000 curr=0.0000 ff=0.0000) comp_limits=[0.4000000059604645, 0.4000000059604645, 0.0] comp_torque=[0.0, 0.0, 0.0]
[ReleaseFF] env=10 tau_prev=[0.0, 0.0, 0.0] tau_curr=[0.0, 0.0, 0.0] delta=[0.0, 0.0, 0.0] ff=[0.0, 0.0, 0.0] norms(prev=0.0000 curr=0.0000 ff=0.0000) comp_limits=[0.4000000059604645, 0.4000000059604645, 0.0] comp_torque=[0.0, 0.0, 0.0]
[ReleaseFF] env=26 tau_prev=[0.0, 0.0, 0.0] tau_curr=[0.0, 0.0, 0.0] delta=[0.0, 0.0, 0.0] ff=[0.0, 0.0, 0.0] norms(prev=0.0000 curr=0.0000 ff=0.0000) comp_limits=[0.4000000059604645, 0.4000000059604645, 0.0] comp_torque=[0.0, 0.0, 0.0]
[ReleaseFF] env=12 tau_prev=[0.0, 0.0, 0.0] tau_curr=[0.0, 0.0, 0.0] delta=[0.0, 0.0, 0.0] ff=[0.0, 0.0, 0.0] norms(prev=0.0000 curr=0.0000 ff=0.0000) comp_limits=[0.4000000059604645, 0.4000000059604645, 0.0] comp_torque=[0.0, 0.0, 0.0]
[ReleaseFF] env=145 tau_prev=[0.0, 0.0, 0.0] tau_curr=[0.0, 0.0, 0.0] delta=[0.0, 0.0, 0.0] ff=[0.0, 0.0, 0.0] norms(prev=0.0000 curr=0.0000 ff=0.0000) comp_limits=[0.4000000059604645, 0.4000000059604645, 0.0] comp_torque=[0.0, 0.0, 0.0]
[ReleaseFF] env=149 tau_prev=[0.0, 0.0, 0.0] tau_curr=[0.0, 0.0, 0.0] delta=[0.0, 0.0, 0.0] ff=[0.0, 0.0, 0.0] norms(prev=0.0000 curr=0.0000 ff=0.0000) comp_limits=[0.4000000059604645, 0.4000000059604645, 0.0] comp_torque=[0.0, 0.0, 0.0]
[ReleaseFF] env=40 tau_prev=[0.0, 0.0, 0.0] tau_curr=[0.0, 0.0, 0.0] delta=[0.0, 0.0, 0.0] ff=[0.0, 0.0, 0.0] norms(prev=0.0000 curr=0.0000 ff=0.0000) comp_limits=[0.4000000059604645, 0.4000000059604645, 0.0] comp_torque=[0.0, 0.0, 0.0]
[ReleaseFF] env=61 tau_prev=[0.0, 0.0, 0.0] tau_curr=[0.0, 0.0, 0.0] delta=[0.0, 0.0, 0.0] ff=[0.0, 0.0, 0.0] norms(prev=0.0000 curr=0.0000 ff=0.0000) comp_limits=[0.4000000059604645, 0.4000000059604645, 0.0] comp_torque=[0.0, 0.0, 0.0]
