Dimension, Name, R2, MAE
0, Payload Mass, 0.989842, 0.072350
1, COM X, 0.892389, 0.208965
2, COM Y, 0.938929, 0.132829
3, COM Z, 0.989074, 0.076996
4, Inertia Ixx, 0.958606, 0.141682
5, Inertia Iyy, 0.951759, 0.148473
6, Inertia Izz, 0.981573, 0.102276
7, Motor Thrust K, 0.823319, 0.340921
8, Motor Time Const, -6870.299411, 0.005189
9, Drag Lin X, -5200.535896, 0.004706
10, Drag Lin Y, -10614.796054, 0.008707
11, Drag Lin Z, -27502.291494, 0.012543
12, Drag Ang X, -11260.541658, 0.007876
13, Drag Ang Y, -11761.294162, 0.008410
14, Drag Ang Z, -14099.898989, 0.009198
15, Wind Force X, -8914.501530, 0.007322
16, Wind Force Y, -12657.719788, 0.008786
17, Wind Force Z, -8263.691132, 0.007523
